artist_name	nb_artworks	artist_url	date_of_birth	date_of_death	desc	movements	mediums
François Boucher	483	https://artsandculture.google.com/entity/fran%C3%A7ois-boucher/m0c424?categoryId=artist	1703-09-29	1770-05-30	François Boucher was a French painter, draughtsman and etcher, who worked in the Rococo style. Boucher is known for his idyllic and voluptuous paintings on classical themes, decorative allegories, and pastoral scenes. He was perhaps the most celebrated painter and decorative artist of the 18th century.	['Rococo', 'Renaissance', 'Baroque', 'Classicism', 'Neoclassicism', 'Mannerism']	['Etching', 'Engraving', 'Pigment', 'Chalk', 'Oil paint', 'Laid paper']
Hans Holbein the Younger	187	https://artsandculture.google.com/entity/hans-holbein-the-younger/m0cy9m?categoryId=artist		Died-1543	"Hans Holbein the Younger was a German painter and printmaker who worked in a Northern Renaissance style, and is considered one of the greatest portraitists of the 16th century. He also produced religious art, satire, and Reformation propaganda, and he made a significant contribution to the history of book design. He is called ""the Younger"" to distinguish him from his father Hans Holbein the Elder, an accomplished painter of the Late Gothic school.
Holbein was born in Augsburg, but he worked mainly in Basel as a young artist. At first, he painted murals and religious works, designed stained glass windows, and printed books. He also painted an occasional portrait, making his international mark with portraits of humanist Desiderius Erasmus of Rotterdam. When the Reformation reached Basel, Holbein worked for reformist clients while continuing to serve traditional religious patrons. His Late Gothic style was enriched by artistic trends in Italy, France, and the Netherlands, as well as by Renaissance humanism. The result was a combined aesthetic uniquely his own.
Holbein travelled to England in 1526 in search of work, with a recommendation from Erasmus."	['Northern Renaissance', 'Renaissance', 'German Renaissance', 'Gothic art', 'French Renaissance']	['Oil paint', 'Wood', 'Metal', 'Oak', 'Drawing', 'Ink']
Caspar David Friedrich	56	https://artsandculture.google.com/entity/caspar-david-friedrich/m01q3f?categoryId=artist	1774-09-5	1840-05-7	"Caspar David Friedrich was a 19th-century German Romantic landscape painter, generally considered the most important German artist of his generation. He is best known for his mid-period allegorical landscapes, which typically feature contemplative figures silhouetted against night skies, morning mists, barren trees or Gothic ruins. His primary interest was the contemplation of nature, and his often symbolic and anti-classical work seeks to convey a subjective, emotional response to the natural world. Friedrich's paintings characteristically set a human presence in diminished perspective amid expansive landscapes, reducing the figures to a scale that, according to the art historian Christopher John Murray, directs ""the viewer's gaze towards their metaphysical dimension"".
Friedrich was born in the town of Greifswald on the Baltic Sea in what was at the time Swedish Pomerania. He studied in Copenhagen until 1798, before settling in Dresden. He came of age during a period when, across Europe, a growing disillusionment with materialistic society was giving rise to a new appreciation of spirituality."	['Romanticism', 'Neoclassicism', 'Classicism']	['Oil paint', 'Ink', 'Pencil', 'Drawing', 'Pen', 'Watercolor painting']
Zhao Mengfu	11	https://artsandculture.google.com/entity/zhao-mengfu/m0306z2?categoryId=artist	1254	1322	"Zhao Mengfu, was a Chinese calligrapher, painter, and scholar during the Yuan Dynasty. He was a descendant of the Song Dynasty's imperial family through Emperor Xiaozong's brother Zhao Bogui who married a lady surnamed Song who was the granddaughter of Emperor Huizong. Zhao Bogui was a descendant of Emperor Taizu, through his son Zhao Defang.
He was recommended by the Censor-in-chief Cheng Jufu to pay an audience with Kublai Khan in 1286 at the Yuan capital of Dadu, but was not awarded an important position in office. His work was however, greatly appreciated later by the Confucian-inspired Yuan Emperor Renzong. Zhao was a member of the ""Academy of Worthies"".
He was married to Guan Daosheng, who was also an accomplished poet, painter and calligrapher. His rejection of the refined, gentle brushwork of his era in favour of the cruder style of the eighth century is considered to have brought about a revolution that created the modern Chinese landscape painting. He was known for his paintings of horses. His landscapes are also considered to be done in a style that focuses more on a literal laying of ground."	['Wen Zhengming', 'Qiu Ying', 'Dong Qichang', 'Mi Fu', 'Tang Yin', 'Qian Xuan']	['Ink', 'Silk', 'Textile', 'Leaf']
John Constable	360	https://artsandculture.google.com/entity/john-constable/m0sy76?categoryId=artist	1776-06-11	1837-03-31	"John Constable RA was an English landscape painter in the Romantic tradition. Born in Suffolk, he is known principally for revolutionising the genre of landscape painting with his pictures of Dedham Vale, the area surrounding his home – now known as ""Constable Country"" – which he invested with an intensity of affection. ""I should paint my own places best"", he wrote to his friend John Fisher in 1821, ""painting is but another word for feeling"".
Constable's most famous paintings include Wivenhoe Park, Dedham Vale and The Hay Wain. Although his paintings are now among the most popular and valuable in British art, he was never financially successful. He became a member of the establishment after he was elected to the Royal Academy at the age of 52. His work was embraced in France, where he sold more than in his native England and inspired the Barbizon school."	['Romanticism']	['Oil paint', 'Graphite', 'Laid paper', 'Watercolor painting', 'Chalk', 'Pigment']
Nicholas Roerich	38	https://artsandculture.google.com/entity/nicholas-roerich/m01fpf6?categoryId=artist	1874-10-9	1947-12-13	"Nicholas Roerich, also known also as Nikolai Konstantinovich Rerikh, was a Russian painter, writer, archaeologist, theosophist, philosopher, and public figure. In his youth was influenced by Russian Symbolism, a movement in Russian society centered on the spiritual. He was interested in hypnosis and other spiritual practices and his paintings are said to have hypnotic expression.
Born in Saint Petersburg, to a well-to-do notary public Baltic German father and to a Russian mother, Roerich lived in various places in the world until his death in Naggar, Himachal Pradesh, India. Trained as an artist and a lawyer, his main interests were literature, philosophy, archaeology, and especially art. Roerich was a dedicated activist for the cause of preserving art and architecture during times of war. He was nominated several times to the longlist for the Nobel Peace Prize. The so-called Roerich Pact was signed into law by the United States and most other nations of the Pan-American Union in April 1935."	['Modern art', 'Symbolism', 'Realism']	['Tempera', 'Oil paint']
Dante Gabriel Rossetti	57	https://artsandculture.google.com/entity/dante-gabriel-rossetti/m03xpqgs?categoryId=artist	1828-05-12	1882-04-9	"Gabriel Charles Dante Rossetti, generally known as Dante Gabriel Rossetti, was an English poet, illustrator, painter, and translator, and member of the Rossetti family. He founded the Pre-Raphaelite Brotherhood in 1848 with William Holman Hunt and John Everett Millais. Rossetti was later to be the main inspiration for a second generation of artists and writers influenced by the movement, most notably William Morris and Edward Burne-Jones. His work also influenced the European Symbolists and was a major precursor of the Aesthetic movement.
Rossetti's art was characterised by its sensuality and its medieval revivalism. His early poetry was influenced by John Keats and William Blake. His later poetry was characterised by the complex interlinking of thought and feeling, especially in his sonnet sequence, The House of Life. Poetry and image are closely entwined in Rossetti's work. He frequently wrote sonnets to accompany his pictures, spanning from The Girlhood of Mary Virgin and Astarte Syriaca, while also creating art to illustrate poems such as Goblin Market by the celebrated poet Christina Rossetti, his sister."	['Aestheticism', 'Pre-Raphaelite Brotherhood', 'Symbolism', 'Modern art', 'Arts and Crafts movement']	['Oil paint', 'Drawing', 'Watercolor painting', 'Graphite', 'Ink', 'Pen']
Shepard Fairey	32	https://artsandculture.google.com/entity/shepard-fairey/m02lkwf?categoryId=artist	Born-Feb-15-1970		"Frank Shepard Fairey is an American contemporary street artist, graphic designer, activist, illustrator, and founder of OBEY Clothing who emerged from the skateboarding scene. He first became known for his ""Andre the Giant Has a Posse"" sticker campaign while attending the Rhode Island School of Design.
He became widely known during the 2008 U.S. presidential election for his Barack Obama ""Hope"" poster. The Institute of Contemporary Art, Boston has described him as one of the best known and most influential street artists. His work is included in the collections at The Smithsonian, the Los Angeles County Museum of Art, the Museum of Modern Art in New York City, the Museum of Contemporary Art San Diego, the National Portrait Gallery in Washington, D.C., the Virginia Museum of Fine Arts in Richmond, and the Victoria and Albert Museum in London.
Fairey is known for his ""bold iconic style that is based on styling and idealizing images."""	['Street art']	['Photograph']
Wassily Kandinsky	892	https://artsandculture.google.com/entity/wassily-kandinsky/m0856z?categoryId=artist	1866-12-16	1944-12-13	"Wassily Wassilyevich Kandinsky was a Russian painter and art theorist. Kandinsky is generally credited as the pioneer of abstract art. Born in Moscow, Kandinsky spent his childhood in Odessa, where he graduated at Grekov Odessa Art school. He enrolled at the University of Moscow, studying law and economics. Successful in his profession—he was offered a professorship at the University of Dorpat —Kandinsky began painting studies at the age of 30.
In 1896, Kandinsky settled in Munich, studying first at Anton Ažbe's private school and then at the Academy of Fine Arts. He returned to Moscow in 1914, after the outbreak of World War I. Following the Russian Revolution, Kandinsky ""became an insider in the cultural administration of Anatoly Lunacharsky"" and helped establish the Museum of the Culture of Painting. However, by then ""his spiritual outlook... was foreign to the argumentative materialism of Soviet society"", and opportunities beckoned in Germany, to which he returned in 1920. There he taught at the Bauhaus school of art and architecture from 1922 until the Nazis closed it in 1933."	['Modern art', 'Expressionism', 'Der Blaue Reiter', 'German Expressionism', 'Geometric abstraction', 'Baroque']	['Metal', 'Tin', 'Drawing', 'Ink', 'India ink', 'Graphite']
Giovanni Battista Tiepolo	384	https://artsandculture.google.com/entity/giovanni-battista-tiepolo/m01fr20?categoryId=artist	1696-03-5	1770-03-27	"Giovanni Battista Tiepolo, also known as Giambattista Tiepolo, was an Italian painter and printmaker from the Republic of Venice who painted in the Rococo style, considered important member of the 18th-century Venetian school. He was prolific, and worked not only in Italy, but also in Germany and Spain.
Giovan Battista Tiepolo, together with Giambattista Pittoni, Canaletto, Giovan Battista Piazzetta, Giuseppe Maria Crespi, and Francesco Guardi are considered the traditional Old Masters of that period.
Successful from the beginning of his career, he has been described by Michael Levey as ""the greatest decorative painter of eighteenth-century Europe, as well as its most able craftsman."""	['Rococo', 'Renaissance', 'Baroque', 'Neoclassicism']	['Drawing', 'Pen', 'Ink', 'Etching', 'Chalk', 'Pigment']
Ernst Ludwig Kirchner	123	https://artsandculture.google.com/entity/ernst-ludwig-kirchner/m049kqx?categoryId=artist	1880-05-6	1938-06-15	"Ernst Ludwig Kirchner was a German expressionist painter and printmaker and one of the founders of the artists group Die Brücke or ""The Bridge"", a key group leading to the foundation of Expressionism in 20th-century art. He volunteered for army service in the First World War, but soon suffered a breakdown and was discharged. His work was branded as ""degenerate"" by the Nazis in 1933, and in 1937 more than 600 of his works were sold or destroyed."	['Modern art', 'Expressionism', 'German Expressionism', 'Die Brücke', 'Modernism']	['Oil paint', 'Drawing', 'Etching', 'Ink', 'Graphite', 'Watercolor painting']
Honoré Daumier	2410	https://artsandculture.google.com/entity/honor%C3%A9-daumier/m01xq3c?categoryId=artist	1808-02-26	1879-02-10	"Honoré-Victorin Daumier was a French painter, sculptor, and printmaker, whose many works offer commentary on the social and political life in France, from the Revolution of 1830 to the fall of the second Napoleonic Empire in 1870. He earned a living throughout most of his life producing caricatures and cartoons of political figures and satirizing the behavior of his countrymen in newspapers and periodicals, for which he became well known in his lifetime and is still known today. He was a republican democrat who attacked the bourgeoisie, the church, lawyers and the judiciary, politicians, and the monarchy. He was jailed for several months in 1832 after the publication of Gargantua, a particularly offensive and discourteous depiction of King Louis-Philippe. Daumier was also a serious painter, loosely associated with realism.
Although he occasionally exhibited his paintings at the Parisian Salons, his work was largely overlooked and ignored by the French public and most of the critics of the day."	['Realism', 'Symbolism', 'Modern art', 'Impressionism', 'Romanticism']	['Newsprint', 'Wood', 'Ink', 'Engraving', 'Pen', 'Laid paper']
Alfred Sisley	71	https://artsandculture.google.com/entity/alfred-sisley/m01qpyr?categoryId=artist	1839-10-30	1899-01-29	"Alfred Sisley was an Impressionist landscape painter who was born and spent most of his life in France, but retained British citizenship. He was the most consistent of the Impressionists in his dedication to painting landscape en plein air. He deviated into figure painting only rarely and, unlike Renoir and Pissarro, found that Impressionism fulfilled his artistic needs.
Among his important works are a series of paintings of the River Thames, mostly around Hampton Court, executed in 1874, and landscapes depicting places in or near Moret-sur-Loing. The notable paintings of the Seine and its bridges in the former suburbs of Paris are like many of his landscapes, characterised by tranquillity, in pale shades of green, pink, purple, dusty blue and cream. Over the years Sisley's power of expression and colour intensity increased."	['Impressionism', 'Modern art']	['Oil paint', 'Drawing', 'Laid paper', 'Graphite', 'Pencil', 'Crayon']
Johannes Vermeer	45	https://artsandculture.google.com/entity/johannes-vermeer/m0bw2x?categoryId=artist	October-1632	December-1675	"Johannes Vermeer was a Dutch Baroque Period painter who specialized in domestic interior scenes of middle-class life. During his lifetime, he was a moderately successful provincial genre painter, recognized in Delft and The Hague. Nonetheless, he produced relatively few paintings and evidently was not wealthy, leaving his wife and children in debt at his death.
Vermeer worked slowly and with great care, and frequently used very expensive pigments. He is particularly renowned for his masterly treatment and use of light in his work.
""Almost all his paintings"", Hans Koningsberger wrote, ""are apparently set in two smallish rooms in his house in Delft; they show the same furniture and decorations in various arrangements and they often portray the same people, mostly women.""
His modest celebrity gave way to obscurity after his death. He was barely mentioned in Arnold Houbraken's major source book on 17th-century Dutch painting and was thus omitted from subsequent surveys of Dutch art for nearly two centuries."	['Baroque', 'Dutch Golden Age']	['Oil paint', 'Textile', 'Photograph', 'Aluminium', 'Metal', 'Wood']
Odilon Redon	424	https://artsandculture.google.com/entity/odilon-redon/m015ymr?categoryId=artist	1840-04-22	1916-07-6	"Odilon Redon was a French symbolist painter, printmaker, draughtsman and pastellist.
Early in his career, both before and after fighting in the Franco-Prussian War, he worked almost exclusively in charcoal and lithography, works referred to as noirs. He started gaining recognition after his drawings were mentioned in the 1884 novel À rebours by Joris-Karl Huysmans. During the 1890s he began working in pastel and oils, which quickly became his favourite medium, abandoning his previous style of noirs completely after 1900. He also developed a keen interest in Hindu and Buddhist religion and culture, which increasingly showed in his work.
He is perhaps best known today for the ""dreamlike"" paintings created in the first decade of the 20th century, which were heavily inspired by Japanese art and which, while continuing to take inspiration from nature, heavily flirted with abstraction. His work is considered a precursor to both Dadaism and Surrealism."	['Symbolism', 'Post-Impressionism', 'Modern art', 'Naturalism']	['Laid paper', 'Oil paint', 'Charcoal', 'Drawing', 'Etching', 'Crayon']
William Hogarth	770	https://artsandculture.google.com/entity/william-hogarth/m0p_rx?categoryId=artist	1697-11-10	1764-10-26	"William Hogarth FRSA was an English painter, printmaker, pictorial satirist, social critic, and editorial cartoonist. His work ranges from realistic portraiture to comic strip-like series of pictures called ""modern moral subjects"", and he is perhaps best known for his series A Harlot's Progress, A Rake's Progress and Marriage A-la-Mode. Knowledge of his work is so pervasive that satirical political illustrations in this style are often referred to as ""Hogarthian"".
Hogarth was born in London to a lower-middle-class family. In his youth he took up an apprenticeship with an engraver, but did not complete the apprenticeship. His father underwent periods of mixed fortune, and was at one time imprisoned in lieu of outstanding debts, an event that is thought to have informed William's paintings and prints with a hard edge.
Influenced by French and Italian painting and engraving, Hogarth's works are mostly satirical caricatures, sometimes bawdily sexual, mostly of the first rank of realistic portraiture. They became widely popular and mass-produced via prints in his lifetime, and he was by far the most significant English artist of his generation."	['Rococo', 'Romanticism', 'Baroque', 'Renaissance']	['Engraving', 'Etching', 'Oil paint', 'Laid paper', 'Ink', 'Pen']
James Abbott McNeill Whistler	2840	https://artsandculture.google.com/entity/james-abbott-mcneill-whistler/m0jt1_?categoryId=artist	1834-07-11	1903-07-17	"James Abbott McNeill Whistler RBA was an American artist active during the American Gilded Age and based primarily in the United Kingdom. He eschewed sentimentality and moral allusion in painting and was a leading proponent of the credo ""art for art's sake"". His signature for his paintings took the shape of a stylized butterfly possessing a long stinger for a tail. The symbol combined both aspects of his personality: his art is marked by a subtle delicacy, while his public persona was combative. He found a parallel between painting and music, and entitled many of his paintings ""arrangements"", ""harmonies"", and ""nocturnes"", emphasizing the primacy of tonal harmony. His most famous painting, Arrangement in Grey and Black No. 1, commonly known as Whistler's Mother, is a revered and often parodied portrait of motherhood. Whistler influenced the art world and the broader culture of his time with his theories and his friendships with other leading artists and writers."	['Modern art', 'Impressionism', 'Aestheticism', 'Tonalism', 'Realism', 'Japonisme']	['Etching', 'Laid paper', 'Ink', 'Drawing', 'Bone', 'Ivory']
Canaletto	133	https://artsandculture.google.com/entity/canaletto/m01fbwn?categoryId=artist	1697-10-28	1768-04-19	"Giovanni Antonio Canal, commonly known as Canaletto, was an Italian painter from the Republic of Venice, considered an important member of the 18th-century Venetian school.
Painter of city views or vedute, of Venice, Rome, and London, he also painted imaginary views, although the demarcation in his works between the real and the imaginary is never quite clearcut. He was further an important printmaker using the etching technique. In the period from 1746 to 1756 he worked in England where he painted many views of London and other sites including Warwick Castle and Alnwick Castle. He was highly successful in England, thanks to the British merchant and connoisseur Joseph ""Consul"" Smith, whose large collection of Canaletto's works was sold to King George III in 1762."	['Rococo']	['Etching', 'Oil paint', 'Ink', 'Pen', 'Drawing', 'Engraving']
Georges Seurat	83	https://artsandculture.google.com/entity/georges-seurat/m0gshm?categoryId=artist	1859-12-2	1891-03-29	"Georges Pierre Seurat was a French post-Impressionist artist. He is best known for devising the painting techniques known as chromoluminarism as well as pointillism. While less famous than his paintings, Seurat's conté crayon drawings have also garnered a great deal of critical appreciation.
Seurat's artistic personality combined qualities that are usually supposed to be opposed and incompatible: on the one hand, his extreme and delicate sensibility, on the other, a passion for logical abstraction and an almost mathematical precision of mind. His large-scale work A Sunday Afternoon on the Island of La Grande Jatte altered the direction of modern art by initiating Neo-impressionism, and is one of the icons of late 19th-century painting."	['Modern art', 'Neo-Impressionism', 'Post-Impressionism', 'Impressionism']	['Oil paint', 'Drawing', 'Crayon', 'Conté', 'Pencil', 'Wood']
Guido Reni	196	https://artsandculture.google.com/entity/guido-reni/m02vr8c?categoryId=artist	1575-11-4	1642-08-18	Guido Reni was an Italian painter of the Baroque period, although his works showed a classical manner, similar to Simon Vouet, Nicholas Poussin, and Philippe de Champaigne. He painted primarily religious works, but also mythological and allegorical subjects. Active in Rome, Naples, and his native Bologna, he became the dominant figure in the Bolognese School that emerged under the influence of the Carracci.	['Baroque', 'Italian Renaissance', 'Mannerism', 'Renaissance', 'Classicism']	['Etching', 'Oil paint', 'Chalk', 'Pigment', 'Drawing', 'Sanguine']
Paul Signac	64	https://artsandculture.google.com/entity/paul-signac/m0160zv?categoryId=artist	1863-11-11	1935-08-15	Paul Victor Jules Signac was a French Neo-Impressionist painter who, working with Georges Seurat, helped develop the Pointillist style.	['Modern art', 'Post-Impressionism', 'Neo-Impressionism', 'Impressionism']	['Oil paint', 'Watercolor painting', 'Etching', 'Laid paper', 'Ink', 'Crayon']
Pieter Bruegel the Elder	286	https://artsandculture.google.com/entity/pieter-bruegel-the-elder/m0h6nl?categoryId=artist		Died-Sep-9-1569	"Pieter Bruegel the Elder was the most significant artist of Dutch and Flemish Renaissance painting, a painter and printmaker, known for his landscapes and peasant scenes; he was a pioneer in making both types of subject the focus in large paintings.
He was a formative influence on Dutch Golden Age painting and later painting in general in his innovative choices of subject matter, as one of the first generation of artists to grow up when religious subjects had ceased to be the natural subject matter of painting. He also painted no portraits, the other mainstay of Netherlandish art. After his training and travels to Italy, he returned in 1555 to settle in Antwerp, where he worked mainly as a prolific designer of prints for the leading publisher of the day. Only towards the end of the decade did he switch to make painting his main medium, and all his famous paintings come from the following period of little more than a decade before his early death, when he was probably in his early forties, and at the height of his powers."	['Northern Renaissance', 'Renaissance', 'Dutch and Flemish Renaissance painting']	['Engraving', 'Etching', 'Laid paper', 'Oil paint', 'Ink', 'Wood']
Bartolomé Esteban Murillo	83	https://artsandculture.google.com/entity/bartolom%C3%A9-esteban-murillo/m017vg0?categoryId=artist	1617-12-31	1682-04-3	Bartolomé Esteban Murillo was a Spanish Baroque painter. Although he is best known for his religious works, Murillo also produced a considerable number of paintings of contemporary women and children. These lively, realist portraits of flower girls, street urchins, and beggars constitute an extensive and appealing record of the everyday life of his times. He also painted two self-portraits, one in the Frick Collection portraying him in his 30s, and one in London's National Gallery portraying him about 20 years later. In 2017-2018, the two museums held an exhibition of them.	['Baroque', 'Renaissance', 'Caravaggisti']	['Oil paint', 'Ink', 'Pen', 'Drawing', 'Chalk', 'Pigment']
Jean-Honoré Fragonard	333	https://artsandculture.google.com/entity/jean-honor%C3%A9-fragonard/m02vt1l?categoryId=artist	1732-04-5	1806-08-22	Jean-Honoré Fragonard was a French painter and printmaker whose late Rococo manner was distinguished by remarkable facility, exuberance, and hedonism. One of the most prolific artists active in the last decades of the Ancien Régime, Fragonard produced more than 550 paintings, of which only five are dated. Among his most popular works are genre paintings conveying an atmosphere of intimacy and veiled eroticism.	['Rococo', 'Renaissance', 'Romanticism', 'Baroque']	['Etching', 'Engraving', 'Chalk', 'Pigment', 'Drawing', 'Oil paint']
Jean-François Millet	224	https://artsandculture.google.com/entity/jean-fran%C3%A7ois-millet/m0452w?categoryId=artist	1814-10-4	1875-01-20	Jean-François Millet was a French artist and one of the founders of the Barbizon school in rural France. Millet is noted for his paintings of peasant farmers and can be categorized as part of the Realism art movement. Toward the end of his career he became increasingly interested in painting pure landscapes. He is known best for his oil paintings but is also noted for his pastels, conte crayon drawings, and etchings.	['Realism', 'Barbizon school', 'American Impressionism', 'Hague School']	['Etching', 'Oil paint', 'Laid paper', 'Drawing', 'Crayon', 'Ink']
Francisco de Zurbarán	73	https://artsandculture.google.com/entity/francisco-de-zurbar%C3%A1n/m02_6nk?categoryId=artist	1598-11-7	1664-08-27	"Francisco de Zurbarán was a Spanish painter. He is known primarily for his religious paintings depicting monks, nuns, and martyrs, and for his still-lifes. Zurbarán gained the nickname ""Spanish Caravaggio"", owing to the forceful use of chiaroscuro in which he excelled.
He was the father of the painter Juan de Zurbarán."	['Baroque', 'Caravaggisti', 'Renaissance']	['Oil paint', 'Textile']
Thomas Gainsborough	185	https://artsandculture.google.com/entity/thomas-gainsborough/m07ncv?categoryId=artist	1727-05-14	1788-08-2	Thomas Gainsborough RA FRSA was an English portrait and landscape painter, draughtsman, and printmaker. Along with his rival Sir Joshua Reynolds, he is considered one of the most important British artists of the second half of the 18th century. He painted quickly, and the works of his maturity are characterised by a light palette and easy strokes. Despite being a prolific portrait painter, Gainsborough gained greater satisfaction from his landscapes. He is credited as the originator of the 18th-century British landscape school. Gainsborough was a founding member of the Royal Academy.	['Rococo', 'Renaissance', 'Romanticism', 'Neoclassicism']	['Oil paint', 'Chalk', 'Pigment', 'Laid paper', 'Drawing', 'Watercolor painting']
René Lalique	368	https://artsandculture.google.com/entity/ren%C3%A9-lalique/m0hwm2?categoryId=artist	1860-04-6	1945-05-1	René Jules Lalique was a French glass designer known for his creations of glass art, perfume bottles, vases, jewellery, chandeliers, clocks, and automobile hood ornaments.	['Modern art', 'Art Deco', 'Art Nouveau', 'Aestheticism']	['Glass', 'Metal', 'Vitreous enamel', 'Gold', 'Plaster', 'Gemstone']
Utamaro	472	https://artsandculture.google.com/entity/utamaro/m0497z?categoryId=artist		Died-Oct-31-1806	"Kitagawa Utamaro was a Japanese artist. He is one of the most highly regarded designers of ukiyo-e woodblock prints and paintings, and is best known for his bijin ōkubi-e ""large-headed pictures of beautiful women"" of the 1790s. He also produced nature studies, particularly illustrated books of insects.
Little is known of Utamaro's life. His work began to appear in the 1770s, and he rose to prominence in the early 1790s with his portraits of beauties with exaggerated, elongated features. He produced over 2000 known prints and was one of the few ukiyo-e artists to achieve fame throughout Japan in his lifetime. In 1804 he was arrested and manacled for fifty days for making illegal prints depicting the 16th-century military ruler Toyotomi Hideyoshi, and died two years later.
Utamaro's work reached Europe in the mid-nineteenth century, where it was very popular, enjoying particular acclaim in France. He influenced the European Impressionists, particularly with his use of partial views and his emphasis on light and shade, which they imitated. The reference to the ""Japanese influence"" among these artists often refers to the work of Utamaro."	['Ukiyo-e']	['Ink', 'Book', 'Metal', 'Pigment', 'Wood', 'Textile']
Yoshitoshi	697	https://artsandculture.google.com/entity/yoshitoshi/m01rtn7?categoryId=artist	1839-04-30	1892-06-9	"Tsukioka Yoshitoshi was a Japanese printmaker.
Yoshitoshi has widely been recognized as the last great master of the ukiyo-e genre of woodblock printing and painting. He is also regarded as one of the form's greatest innovators. His career spanned two eras – the last years of Edo period Japan, and the first years of modern Japan following the Meiji Restoration. Like many Japanese, Yoshitoshi was interested in new things from the rest of the world, but over time he became increasingly concerned with the loss of many aspects of traditional Japanese culture, among them traditional woodblock printing.
By the end of his career, Yoshitoshi was in an almost single-handed struggle against time and technology. As he worked on in the old manner, Japan was adopting Western mass reproduction methods like photography and lithography. Nonetheless, in a Japan that was turning away from its own past, he almost singlehandedly managed to push the traditional Japanese woodblock print to a new level, before it effectively died with him.
His life is perhaps best summed up by John Stevenson:"	['Ukiyo-e']	['Ink', 'Book', 'Wood', 'Textile', 'Silk', 'Brocade']
Winslow Homer	569	https://artsandculture.google.com/entity/winslow-homer/m01th73?categoryId=artist	1836-02-24	1910-09-29	"Winslow Homer was an American landscape painter and printmaker, best known for his marine subjects. He is considered one of the foremost painters in 19th-century America and a preeminent figure in American art.
Largely self-taught, Homer began his career working as a commercial illustrator. He subsequently took up oil painting and produced major studio works characterized by the weight and density he exploited from the medium. He also worked extensively in watercolor, creating a fluid and prolific oeuvre, primarily chronicling his working vacations."	['Realism', 'American Realism', 'Modern art', 'Naturalism', 'Impressionism']	['Wood', 'Engraving', 'Graphite', 'Watercolor painting', 'Oil paint', 'Laid paper']
Mario Testino	27	https://artsandculture.google.com/entity/mario-testino/m08k4c9?categoryId=artist	Born-Oct-30-1954		"Mario Eduardo Testino Silva OBE HonFRPS is a Peruvian fashion and portrait photographer. His work has featured internationally in magazines such as Vogue, V Magazine, Vanity Fair and GQ. He has also created images for brands such as Gucci, Burberry, Versace, Michael Kors, Chanel, Stuart Weitzman, Carolina Herrera and Estée Lauder.
Alongside his practice as a photographer, Testino has also worked as a creative director, guest editor, museum founder, art collector and collaborator and entrepreneur.
Starting in Peru, with his ""Alta Moda"" project casts a light on traditional Peruvian culture, Testino has been devoting his time to his passions and creative inspirations, exploring and documenting cultural heritage around the world in the “A Beautiful World” series.
In 2007, he formed MARIOTESTINO+, which provided creative direction, art direction, brand strategy, graphic design, film and stills production, digital and social media, product development, books, exhibitions, licensing and partnerships.
Aaron Hicklin of The Observer described him as ""the world's most prolific magazine and fashion trade photographer"".
Male and female models have reported and recalled his harassment of them."	['Craig McDean', 'Alexi Lubomirski', 'Jean Pigozzi']	['Photograph']
Joshua Reynolds	135	https://artsandculture.google.com/entity/joshua-reynolds/m0410r?categoryId=artist	1723-07-16	1792-02-23	"Sir Joshua Reynolds PRA FRS FRSA was an English painter, specialising in portraits. John Russell said he was one of the major European painters of the 18th century. He promoted the ""Grand Style"" in painting which depended on idealization of the imperfect. He was a founder and first president of the Royal Academy of Arts, and was knighted by George III in 1769."	['Rococo', 'Renaissance', 'Neoclassicism']	['Oil paint', 'Engraving', 'Etching', 'Graphite', 'Chalk', 'Pigment']
Edward Burne-Jones	153	https://artsandculture.google.com/entity/edward-burne-jones/m018dlc?categoryId=artist	1833-08-28	1898-06-17	"Sir Edward Coley Burne-Jones, 1st Baronet, ARA was a British artist and designer associated with the Pre-Raphaelite movement, who worked with William Morris on decorative arts as a founding partner in Morris, Marshall, Faulkner & Co.
Burne-Jones was involved in the rejuvenation of the tradition of stained glass art in Britain; his works include windows in St. Philip's Cathedral, Birmingham, St Martin in the Bull Ring, Birmingham, Holy Trinity Church, Sloane Square, Chelsea, St Peter and St Paul parish church in Cromer, St Martin's Church in Brampton, Cumbria, St Michael's Church, Brighton, Trinity Church in Frome, All Saints, Jesus Lane, Cambridge, St Edmund Hall, and Christ Church, two colleges of the University of Oxford. His stained glass works also feature in St Anne's Church, Brown Edge, Staffordshire Moorlands, and St Edward the Confessor church at Cheddleton Staffordshire. Burne-Jones's early paintings show the inspiration of Dante Gabriel Rossetti, but by the 1860s Burne-Jones was discovering his own artistic ""voice"".
In 1877, he was persuaded to show eight oil paintings at the Grosvenor Gallery. These included The Beguiling of Merlin."	['Arts and Crafts movement', 'Aestheticism', 'Symbolism', 'Pre-Raphaelite Brotherhood', 'Modern art']	['Pencil', 'Drawing', 'Oil paint', 'Graphite', 'Watercolor painting', 'Metal']
